city,id,pop,median,count,type,mean
Abstatt,125001,4752,44,2,ZA,0.4208754208754209
Abstatt,125001,4752,44,5,HA,1.0521885521885523
Abstatt,125001,4752,44,0,FA,0.0
Bad Wimpfen,125007,6971,46,5,ZA,0.7172572084349448
Bad Wimpfen,125007,6971,46,7,HA,1.0041600918089226
Bad Wimpfen,125007,6971,46,6,FA,0.8607086501219338
Forchtenberg,126028,4919,44,1,ZA,0.20329335230737958
Forchtenberg,126028,4919,44,6,HA,1.2197601138442773
Forchtenberg,126028,4919,44,3,FA,0.6098800569221386
Siegelsbach,125087,1671,45,0,ZA,0.0
Siegelsbach,125087,1671,45,2,HA,1.196888090963495
Siegelsbach,125087,1671,45,0,FA,0.0